step 4800: train loss 0.8326, val loss 0.8272
saving checkpoint to out/addition_ft
iter 4900: loss 0.8739, time 1407.11ms, mfu 0.09%
iter 4901: loss 0.8832, time 142.86ms, mfu 0.08%
iter 4902: loss 0.8940, time 111.80ms, mfu 0.08%
iter 4903: loss 0.8912, time 123.70ms, mfu 0.07%
iter 4904: loss 0.8641, time 127.27ms, mfu 0.07%
iter 4905: loss 0.8813, time 55.29ms, mfu 0.07%
iter 4906: loss 0.8828, time 32.56ms, mfu 0.07%
iter 4907: loss 0.8789, time 32.72ms, mfu 0.07%
iter 4908: loss 0.8851, time 72.36ms, mfu 0.07%
iter 4909: loss 0.8814, time 85.97ms, mfu 0.07%
iter 4910: loss 0.8995, time 43.08ms, mfu 0.07%
iter 4911: loss 0.8954, time 31.04ms, mfu 0.07%
iter 4912: loss 0.8705, time 29.65ms, mfu 0.08%
iter 4913: loss 0.8684, time 30.90ms, mfu 0.08%
iter 4914: loss 0.8871, time 29.21ms, mfu 0.08%
iter 4915: loss 0.8717, time 28.56ms, mfu 0.09%
iter 4916: loss 0.8832, time 29.37ms, mfu 0.09%
iter 4917: loss 0.8751, time 29.31ms, mfu 0.09%
iter 4918: loss 0.8893, time 28.89ms, mfu 0.09%
iter 4919: loss 0.8900, time 30.58ms, mfu 0.09%
iter 4920: loss 0.8639, time 32.77ms, mfu 0.09%
iter 4921: loss 0.8902, time 30.34ms, mfu 0.10%
iter 4922: loss 0.8839, time 29.42ms, mfu 0.10%
iter 4923: loss 0.8682, time 28.90ms, mfu 0.10%
iter 4924: loss 0.8811, time 28.49ms, mfu 0.10%
iter 4925: loss 0.8804, time 28.39ms, mfu 0.10%
iter 4926: loss 0.8894, time 28.52ms, mfu 0.10%
iter 4927: loss 0.8573, time 35.21ms, mfu 0.10%
iter 4928: loss 0.8677, time 28.37ms, mfu 0.10%
iter 4929: loss 0.8670, time 28.21ms, mfu 0.10%
iter 4930: loss 0.8773, time 32.28ms, mfu 0.10%
iter 4931: loss 0.8748, time 30.22ms, mfu 0.10%
iter 4932: loss 0.8792, time 41.66ms, mfu 0.10%
iter 4933: loss 0.8625, time 33.17ms, mfu 0.10%
iter 4934: loss 0.8878, time 35.09ms, mfu 0.10%
iter 4935: loss 0.8606, time 41.05ms, mfu 0.10%
iter 4936: loss 0.8775, time 34.44ms, mfu 0.10%
iter 4937: loss 0.8750, time 29.74ms, mfu 0.10%
iter 4938: loss 0.8832, time 28.70ms, mfu 0.10%
iter 4939: loss 0.8713, time 34.79ms, mfu 0.10%
iter 4940: loss 0.8599, time 28.63ms, mfu 0.10%
iter 4941: loss 0.8737, time 30.59ms, mfu 0.10%
iter 4942: loss 0.8418, time 30.35ms, mfu 0.10%
iter 4943: loss 0.8703, time 28.80ms, mfu 0.10%
iter 4944: loss 0.8698, time 29.54ms, mfu 0.10%
iter 4945: loss 0.8739, time 28.85ms, mfu 0.10%
iter 4946: loss 0.8642, time 32.02ms, mfu 0.10%
iter 4947: loss 0.8652, time 34.47ms, mfu 0.10%
iter 4948: loss 0.8636, time 34.09ms, mfu 0.10%
iter 4949: loss 0.8586, time 31.01ms, mfu 0.10%
iter 4950: loss 0.8752, time 30.94ms, mfu 0.10%
iter 4951: loss 0.8650, time 32.44ms, mfu 0.10%
iter 4952: loss 0.8590, time 35.51ms, mfu 0.10%
iter 4953: loss 0.8630, time 39.56ms, mfu 0.10%
iter 4954: loss 0.8499, time 32.98ms, mfu 0.10%
iter 4955: loss 0.8661, time 33.04ms, mfu 0.10%
iter 4956: loss 0.8708, time 33.88ms, mfu 0.10%
iter 4957: loss 0.8746, time 31.38ms, mfu 0.10%
iter 4958: loss 0.8747, time 31.91ms, mfu 0.10%
iter 4959: loss 0.8728, time 30.14ms, mfu 0.10%
iter 4960: loss 0.8722, time 34.52ms, mfu 0.10%
iter 4961: loss 0.8707, time 34.10ms, mfu 0.10%
iter 4962: loss 0.8804, time 35.82ms, mfu 0.10%
iter 4963: loss 0.8652, time 28.14ms, mfu 0.10%
iter 4964: loss 0.8643, time 29.28ms, mfu 0.10%
iter 4965: loss 0.8702, time 28.35ms, mfu 0.10%
iter 4966: loss 0.8632, time 27.80ms, mfu 0.10%
iter 4967: loss 0.8632, time 28.44ms, mfu 0.10%
iter 4968: loss 0.8705, time 28.63ms, mfu 0.11%
iter 4969: loss 0.8734, time 29.61ms, mfu 0.11%
iter 4970: loss 0.8734, time 28.33ms, mfu 0.11%
iter 4971: loss 0.8728, time 31.39ms, mfu 0.11%
iter 4972: loss 0.8563, time 31.35ms, mfu 0.11%
iter 4973: loss 0.8724, time 30.63ms, mfu 0.11%
iter 4974: loss 0.8849, time 29.04ms, mfu 0.11%
iter 4975: loss 0.8563, time 30.30ms, mfu 0.11%
iter 4976: loss 0.8659, time 31.99ms, mfu 0.11%
iter 4977: loss 0.8976, time 31.55ms, mfu 0.11%
iter 4978: loss 0.8786, time 32.62ms, mfu 0.11%
iter 4979: loss 0.8584, time 28.61ms, mfu 0.11%
iter 4980: loss 0.8694, time 27.99ms, mfu 0.11%
iter 4981: loss 0.8601, time 27.99ms, mfu 0.11%
iter 4982: loss 0.8617, time 28.45ms, mfu 0.11%
iter 4983: loss 0.8589, time 30.95ms, mfu 0.11%
iter 4984: loss 0.8579, time 31.70ms, mfu 0.11%
iter 4985: loss 0.8520, time 36.97ms, mfu 0.11%
iter 4986: loss 0.8565, time 48.65ms, mfu 0.10%
iter 4987: loss 0.8895, time 54.93ms, mfu 0.10%
iter 4988: loss 0.8674, time 33.83ms, mfu 0.10%
iter 4989: loss 0.8549, time 33.15ms, mfu 0.10%
iter 4990: loss 0.8919, time 29.39ms, mfu 0.10%
iter 4991: loss 0.8723, time 28.82ms, mfu 0.10%
iter 4992: loss 0.8976, time 30.53ms, mfu 0.10%
iter 4993: loss 0.8649, time 37.76ms, mfu 0.10%
iter 4994: loss 0.8646, time 43.17ms, mfu 0.10%
iter 4995: loss 0.8673, time 28.34ms, mfu 0.10%
iter 4996: loss 0.8762, time 31.68ms, mfu 0.10%
iter 4997: loss 0.8611, time 34.42ms, mfu 0.10%
iter 4998: loss 0.8749, time 35.69ms, mfu 0.10%
iter 4999: loss 0.8592, time 33.67ms, mfu 0.10%
step 5000: train loss 0.8691, val loss 0.8673
saving checkpoint to out/addition_ft
iter 5000: loss 0.8581, time 467.56ms, mfu 0.09%
iter 5001: loss 0.8739, time 38.71ms, mfu 0.09%
iter 5002: loss 0.8780, time 30.46ms, mfu 0.09%
iter 5003: loss 0.8594, time 41.84ms, mfu 0.09%
iter 5004: loss 0.8598, time 56.13ms, mfu 0.09%
iter 5005: loss 0.8692, time 105.56ms, mfu 0.08%
iter 5006: loss 0.8678, time 87.06ms, mfu 0.08%
iter 5007: loss 0.8790, time 54.83ms, mfu 0.07%
iter 5008: loss 0.8563, time 53.75ms, mfu 0.07%
iter 5009: loss 0.8606, time 54.82ms, mfu 0.07%
iter 5010: loss 0.8634, time 39.95ms, mfu 0.07%
iter 5011: loss 0.8648, time 37.77ms, mfu 0.07%
iter 5012: loss 0.8364, time 39.28ms, mfu 0.07%
iter 5013: loss 0.8638, time 52.60ms, mfu 0.07%
iter 5014: loss 0.8762, time 80.20ms, mfu 0.07%
iter 5015: loss 0.8682, time 129.09ms, mfu 0.07%
iter 5016: loss 0.8565, time 149.35ms, mfu 0.06%
iter 5017: loss 0.8675, time 85.01ms, mfu 0.06%
iter 5018: loss 0.8619, time 132.31ms, mfu 0.06%
iter 5019: loss 0.8747, time 109.59ms, mfu 0.05%
iter 5020: loss 0.8445, time 80.33ms, mfu 0.05%
iter 5021: loss 0.8407, time 40.66ms, mfu 0.05%
iter 5022: loss 0.8641, time 31.73ms, mfu 0.06%
iter 5023: loss 0.8720, time 32.00ms, mfu 0.06%
iter 5024: loss 0.8696, time 38.62ms, mfu 0.07%
iter 5025: loss 0.8498, time 33.54ms, mfu 0.07%
iter 5026: loss 0.8413, time 37.00ms, mfu 0.07%
iter 5027: loss 0.8634, time 54.82ms, mfu 0.07%
iter 5028: loss 0.8550, time 39.09ms, mfu 0.07%
iter 5029: loss 0.8636, time 49.95ms, mfu 0.07%
iter 5030: loss 0.8702, time 101.89ms, mfu 0.07%
iter 5031: loss 0.8816, time 94.22ms, mfu 0.06%
iter 5032: loss 0.8489, time 66.20ms, mfu 0.06%
iter 5033: loss 0.8715, time 70.14ms, mfu 0.06%
iter 5034: loss 0.8592, time 75.48ms, mfu 0.06%
iter 5035: loss 0.8627, time 115.07ms, mfu 0.06%
iter 5036: loss 0.8559, time 110.47ms, mfu 0.05%
iter 5037: loss 0.8840, time 59.70ms, mfu 0.05%
